acl 2.2.53-1
python-sphinxcontrib-jsmath 1.0.1-2
python-sphinxcontrib-qthelp 1.0.2-2
python-sphinxcontrib-serializinghtml 1.1.3-2
python-urllib3 1.25.6-1
python2 2.7.16-1
python2-cairo 1.18.1-1
python2-gobject2 2.28.7-2
qpdf 9.0.2-1
qt5-base 5.13.1-2
qt5-x11extras 5.13.1-1
ranger 1.9.2-1
raptor 2.0.15-11
rasqal 1:0.9.33-2
re2 20190901-1
readline 8.0.001-1
redland 1:1.0.17-7
rest 0.8.1-1
rhash 1.3.8-1
ripgrep 11.0.2-1
rofi 1.5.4-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubberband 1.8.2-2
run-parts 4.8.6.1-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.15-1
scrot 1.2-1
sdl 1.2.15-13
sdl2 2.0.10-1
sed 4.7-2
shaderc 2019.0-2
shadow 4.7-2
shared-mime-info 1.14-1
slang 2.3.2-1
smbclient 4.10.8-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spirv-tools 2019.3-2
spotify 1:1.1.10.546-1
sqlite 3.30.1-1
startup-notification 0.12-6
sudo 1.8.28-1
suitesparse 5.4.0-1
sysfsutils 2.1.0-10
systemd 243.51-1
systemd-libs 243.51-1
systemd-sysvcompat 243.51-1
talloc 2.2.0-1
tar 1.32-2
tdb 1.3.18-2
tevent 1:0.9.39-2
texinfo 6.7-1
thin-provisioning-tools 0.8.5-2
totem-plparser 3.26.3-1
tracker 2.3.0-1
tracker-miners 2.3.0-1
tslib 1.20-1
ttf-font-awesome 5.11.2-1
ttf-hack 3.003-1
tzdata 2019c-2
uchardet 0.0.6-2
udisks2 2.8.4-1
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 012-1
util-linux 2.34-3
v4l-utils 1.16.7-1
vamp-plugin-sdk 2.8.0-1
vid.stab 1.1-2
vim 8.1.2102-1
vim-runtime 8.1.2102-1
virtualbox 6.0.14-1
virtualbox-guest-dkms 6.0.14-1
virtualbox-guest-iso 6.0.14-1
virtualbox-host-modules-arch 6.0.14-1
volume_key 0.3.11-2
vulkan-icd-loader 1.1.123-1
w3m 0.5.3.git20190105-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
which 2.21-4
wpa_supplicant 2:2.9-1
x264 2:157.r72db4377-1
x265 3.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-utils 1.1.3+18+g0547886-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-libinput 0.29.0-1
xf86-input-mouse 1.9.3-1
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.0.1-1
xf86-video-ati 1:19.0.1-1
xf86-video-dummy 0.3.8-3
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+893+gbff5eca4-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-3
xf86-video-qxl 0.1.5-7
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xf86-video-voodoo 1.2.5-10
xfsprogs 5.2.1-1
xkeyboard-config 2.27-1
xmlsec 1.2.28-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-2
xorg-server-common 1.20.5-2
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xmodmap 1.0.10-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.1-3
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
zathura 0.4.4-1
zathura-pdf-mupdf 0.3.5-1
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-3
zsh 5.7.1-1
zstd 1.4.3-1
